Abbreviation,Source,Page,Name,Entries1,Entries2,Tags
2H,PHB,147,Two-Handed,"This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it.",,"Damage, Combat, Weapon"
A,PHB,146,Ammunition,"You can use a weapon that has the ammunition property to make a ranged attack only if you have ammunition to fire from the weapon. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack. Loading a one-handed weapon requires a free hand. At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.","If you use a weapon that has the ammunition property to make a melee attack, you treat the weapon as an improvised weapon. A sling must be loaded to deal any damage when used in this way.","Damage, Combat, Weapon, Ammunition, Ranged"
AF,DMG,267,Ammunition,"You can use a weapon that has the ammunition property to make a ranged attack only if you have ammunition to fire from the weapon. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack. Loading a one-handed weapon requires a free hand. The ammunition of a firearm is destroyed upon use.","If you use a weapon that has the ammunition property to make a melee attack, you treat the weapon as an improvised weapon. A sling must be loaded to deal any damage when used in this way.","Damage, Combat, Weapon, Ammunition, Ranged"
BF,DMG,267,Burst Fire,"A weapon that has the burst fire property can make a single-target attack, or it can spray a 10-foot-cube area within normal range with shots. Each creature in the area must succeed on a DC 15 Dexterity saving throw or take the weapon's normal damage. This action uses ten pieces of ammunition.",,"Damage, Combat, Weapon, Ammunition, Ranged"
F,PHB,147,Finesse,"When making an attack with a finesse weapon, you use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls.",,"Damage, Combat, Weapon, Melee"
H,PHB,147,Heavy,Creatures that are Small or Tiny have disadvantage on attack rolls with heavy weapons. A heavy weapon's size and bulk make it too large for a Small or Tiny creature to use effectively.,,"Damage, Combat, Weapon, Melee, Heavy"
L,PHB,147,Light,"A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons.",,"Damage, Combat, Weapon, Melee, Light"
LD,PHB,147,Loading,"Because of the time required to load this weapon, you can fire only one piece of ammunition from it when you use an action, bonus action, or reaction to fire it, regardless of the number of attacks you can normally make.",,"Damage, Combat, Weapon, Ammunition, Ranged"
R,PHB,147,Reach,This weapon adds 5 feet to your reach when you attack with it. This property also determines your reach for opportunity attacks with a reach weapon.,,"Damage, Combat, Weapon, Melee, Reach"
RLD,DMG,267,Reload,A limited number of shots can be made with a weapon that has the reload property. A character must then reload it using an action or a bonus action (the character's choice).,,"Damage, Combat, Weapon, Ammunition, Ranged"
S,PHB,147,Special,"This item is special, and not something you'd just find lying around.",,Special
T,PHB,147,Thrown,"If a weapon has the thrown property, you can throw the weapon to make a ranged attack. If the weapon is a melee weapon, you use the same ability modifier for that attack roll and damage roll that you would use for a melee attack with the weapon. For example, if you throw a handaxe, you use your Strength, but if you throw a dagger, you can use either your Strength or your Dexterity, since the dagger has the finesse property.",,"Damage, Combat, Weapon, Ranged"
V,PHB,147,Versatile,This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack.,,"Damage, Combat, Weapon, Melee, Versatile"
RA,PHB,146,Range,"A weapon that can be used to make a ranged attack has a range shown in parentheses after the ammunition or thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second indicates the weapon's maximum range. When attacking a target beyond normal range, you have disadvantage on the attack roll. You can't attack a target beyond the weapon's long range.",,"Damage, Combat, Weapon, Ranged"
ME,PHB,146,Melee,"Used in hand-to-hand Combat, a melee Attack allows you to attac⁠k a foe within your reach. A melee atta⁠ck typically uses a handheld weapon such as a sword, a Warhammer, or an axe",,"Damage, Combat, Weapon, Melee"
MAR,PHB,146,Martial,"Martial weap⁠ons, including swords, axes, and polearms, require more specialized training to use effectively. Most warriors use martial we⁠apons because these wea⁠pons put their fighting style and training to best use.",,"Damage, Combat, Weapon, Martial"
SIM,PGB,146,Simple,"Most people can use simple weap⁠ons with proficiency. These weapo⁠ns include clubs, maces, and other weap⁠ons often found in the hands of commoners.",,"Damage, Combat, Weapon, Simple"
FOC,PHB,203,Focus,Casting spells require particular objects. In many cases a spell casting focus can do the job.,,"Damage, Combat, Casting, Spells, Magic"
FUT,DMG,268,Futuristic,From a time of which not much is known.,,Future
CON,PHB,148,Consumable,Down the gullet or hatch its goes. What will it do I wonder?,,"Damage, Social"
WAR,PHB,144,Warding,Offers protection and enhances your chances of survival.,,"Combat, Warding, Armor"
TG,PHB,157,Trade Good,"Most wealth is not in coins. It is measured in livestock, grain, land, rights to collect taxes, or rights to resources (such as a mine or a forest).","Guilds, nobles, and royalty regulate trade. Chartered companies are granted rights to conduct trade along certain routes, to send merchant ships to various ports, or to buy or sell specific goods. Guilds set prices for the goods or services that they control, and determine who may or may not offer those goods and services. Merchants commonly exchange trade goods without using currency.","Trade, Utility, Wealth"
BAG,PHB,148,Container,For storing and carrying.,,"Container, Carrying, Utility"
UTI,PHB,148,Utility,Offers general utility for menial and important tasks alike.,,"Utility, Social"
